판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
69987,이혼및재산분할등,2003드합12991,2005.02.17,서울가정법원,가사,400103,판결: 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69987&type=HTML&mobileYn=
83468,이혼,2004므1033,2004.09.24,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=83468&type=HTML&mobileYn=
83446,이혼및재산분할등,2004므740,2004.09.13,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=83446&type=HTML&mobileYn=
67423,이혼등,2004므955,2004.08.20,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=67423&type=HTML&mobileYn=
83352,이혼및위자료등,2003므2251,2004.07.09,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=83352&type=HTML&mobileYn=
77292,이혼및재산분할등,2003르1700,2004.06.22,서울고등법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=77292&type=HTML&mobileYn=
69746,이혼의 무효 등,2003드합6149,2004.04.22,서울가정법원,가사,400103,판결: 항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69746&type=HTML&mobileYn=
69717,이혼및위자료·이혼및재산분할,2002드합8421,2004.03.17,서울가정법원,가사,400103,판결: 항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69717&type=HTML&mobileYn=
69688,이혼및친권자지정,2003드단58877,2004.02.06,서울가정법원,가사,400103,판결: 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69688&type=HTML&mobileYn=
77316,이혼및재산분할등,2003드합363,2003.09.03,서울가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=77316&type=HTML&mobileYn=
82758,이혼및위자료등,2003므941,2003.08.19,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=82758&type=HTML&mobileYn=
